area,occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
28,11-3051,1540.0,3.1,1.338,0.91,57.65,119910.0,1.5,41.45,51.73,64.69,86220.0,107600.0,134550.0
29,11-3051,4130.0,2.6,1.436,0.98,56.25,117000.0,1.0,38.9,50.34,66.24,80910.0,104710.0,137780.0
30,11-3051,210.0,11.5,0.423,0.29,66.26,137830.0,2.4,52.89,63.93,76.92,110020.0,132970.0,159990.0
31,11-3051,1870.0,4.3,1.864,1.27,51.37,106850.0,1.5,38.41,47.78,61.45,79880.0,99380.0,127820.0
32,11-3051,1270.0,4.7,0.857,0.58,51.9,107940.0,2.7,34.88,49.25,63.35,72550.0,102450.0,131770.0
33,11-3051,1290.0,3.7,1.909,1.3,69.0,143510.0,1.0,50.09,64.88,83.73,104180.0,134940.0,174150.0
34,11-3051,5690.0,2.3,1.355,0.92,74.29,154520.0,1.1,55.66,67.76,83.25,115760.0,140940.0,173160.0
35,11-3051,600.0,6.2,0.715,0.49,59.88,124550.0,1.7,44.6,52.85,73.93,92760.0,109940.0,153780.0
36,11-3051,6680.0,2.0,0.711,0.48,67.64,140680.0,2.0,47.06,61.44,80.32,97870.0,127800.0,167060.0
37,11-3051,8360.0,1.5,1.743,1.19,59.48,123710.0,1.0,41.31,54.31,70.04,85930.0,112960.0,145680.0
38,11-3051,360.0,4.4,0.867,0.59,62.81,130630.0,2.9,45.39,58.32,73.18,94400.0,121310.0,152200.0
39,11-3051,13680.0,1.4,2.501,1.7,52.31,108800.0,1.0,38.05,48.06,62.02,79140.0,99970.0,129000.0
40,11-3051,1630.0,3.4,0.976,0.67,57.9,120440.0,1.7,40.15,51.19,66.26,83510.0,106470.0,137820.0
41,11-3051,3000.0,2.0,1.543,1.05,57.3,119180.0,1.0,41.18,52.36,65.72,85650.0,108900.0,136690.0
42,11-3051,9510.0,2.1,1.598,1.09,55.02,114450.0,1.2,39.47,50.18,63.77,82110.0,104380.0,132640.0
44,11-3051,620.0,4.8,1.275,0.87,59.99,124780.0,1.7,44.71,55.48,76.98,93000.0,115390.0,160110.0
45,11-3051,5570.0,1.5,2.506,1.71,60.85,126580.0,0.6,45.84,58.03,73.09,95340.0,120710.0,152030.0
46,11-3051,680.0,3.3,1.538,1.05,54.39,113140.0,0.9,44.69,50.33,60.71,92960.0,104690.0,126280.0
47,11-3051,5310.0,2.4,1.651,1.12,54.43,113220.0,0.8,38.76,49.18,64.45,80620.0,102300.0,134050.0
48,11-3051,19880.0,2.8,1.466,1.0,62.91,130850.0,0.8,43.93,59.8,77.84,91370.0,124380.0,161910.0
49,11-3051,2050.0,3.5,1.22,0.83,56.25,116990.0,1.4,39.72,51.47,67.74,82610.0,107050.0,140910.0
50,11-3051,460.0,5.9,1.518,1.03,54.56,113470.0,2.7,42.68,47.94,63.26,88770.0,99710.0,131590.0
51,11-3051,2690.0,3.9,0.676,0.46,60.97,126820.0,1.0,45.49,56.25,70.1,94620.0,117000.0,145810.0
53,11-3051,4170.0,2.2,1.193,0.81,69.99,145570.0,0.7,57.98,65.98,79.0,120590.0,137240.0,164310.0
54,11-3051,820.0,7.1,1.198,0.82,56.75,118040.0,2.2,38.46,50.46,66.11,80000.0,104960.0,137520.0
55,11-3051,6680.0,2.0,2.314,1.58,57.49,119570.0,0.6,45.98,52.74,64.38,95640.0,109700.0,133910.0
56,11-3051,330.0,3.6,1.207,0.82,73.39,152640.0,1.2,61.15,71.43,79.75,127200.0,148570.0,165880.0
1,11-3061,1360.0,3.3,0.665,1.3,59.61,123990.0,1.1,42.81,59.68,69.71,89050.0,124130.0,145000.0
2,11-3061,120.0,9.7,0.393,0.77,53.64,111580.0,3.3,37.88,51.62,63.38,78790.0,107380.0,131830.0
4,11-3061,1940.0,2.3,0.618,1.21,73.24,152340.0,0.8,54.91,64.81,82.98,114210.0,134800.0,172610.0
5,11-3061,1150.0,3.7,0.906,1.78,63.0,131040.0,1.6,39.15,52.33,78.54,81430.0,108850.0,163360.0
6,11-3061,7540.0,3.4,0.42,0.82,76.67,159470.0,1.4,55.64,73.8,88.97,115720.0,153510.0,185060.0
8,11-3061,1040.0,5.7,0.368,0.72,82.16,170900.0,4.3,61.98,74.03,90.79,128920.0,153980.0,188850.0
9,11-3061,1530.0,4.2,0.923,1.81,67.61,140620.0,1.7,51.74,62.39,80.31,107620.0,129760.0,167050.0
11,11-3061,1220.0,0.6,1.737,3.4,77.91,162040.0,0.2,70.0,78.48,87.33,145600.0,163240.0,181650.0
12,11-3061,3620.0,4.3,0.378,0.74,67.65,140710.0,1.4,48.18,63.34,81.63,100220.0,131740.0,169780.0
13,11-3061,2600.0,3.3,0.547,1.07,67.96,141350.0,0.7,49.05,63.3,80.13,102010.0,131670.0,166670.0
15,11-3061,150.0,4.6,0.24,0.47,57.15,118870.0,1.4,43.75,52.72,64.02,90990.0,109660.0,133160.0
16,11-3061,340.0,7.1,0.412,0.81,51.41,106930.0,1.4,36.84,50.43,60.15,76620.0,104890.0,125120.0
17,11-3061,3650.0,3.9,0.606,1.19,71.84,149430.0,0.8,53.81,65.83,82.81,111930.0,136930.0,172250.0
18,11-3061,1260.0,5.8,0.4,0.78,57.88,120390.0,1.7,43.37,54.48,67.62,90200.0,113330.0,140660.0
19,11-3061,690.0,4.1,0.444,0.87,60.61,126080.0,1.8,43.16,54.97,76.25,89770.0,114340.0,158600.0
20,11-3061,660.0,6.9,0.469,0.92,67.54,140470.0,1.7,51.06,63.16,78.5,106200.0,131380.0,163270.0
21,11-3061,640.0,9.0,0.324,0.63,56.8,118140.0,1.4,42.44,52.88,66.99,88270.0,109990.0,139340.0
22,11-3061,420.0,8.2,0.229,0.45,56.54,117600.0,3.1,39.79,52.2,65.73,82770.0,108570.0,136710.0
23,11-3061,250.0,9.3,0.406,0.8,63.69,132460.0,1.6,53.53,61.54,71.24,111350.0,128010.0,148170.0
24,11-3061,2300.0,2.9,0.859,1.68,70.25,146110.0,1.1,56.66,70.0,81.18,117860.0,145600.0,168860.0
25,11-3061,2740.0,3.2,0.752,1.47,78.63,163560.0,2.3,59.21,74.4,88.22,123150.0,154760.0,183500.0
26,11-3061,2670.0,3.8,0.613,1.2,70.09,145790.0,1.1,54.03,64.89,80.34,112370.0,134970.0,167100.0
27,11-3061,1310.0,5.4,0.454,0.89,72.79,151410.0,1.3,53.97,67.21,87.44,112260.0,139790.0,181880.0
28,11-3061,330.0,8.1,0.285,0.56,49.62,103210.0,2.4,35.17,48.67,63.67,73150.0,101240.0,132430.0
29,11-3061,640.0,6.3,0.223,0.44,65.51,136260.0,2.4,49.12,65.25,78.91,102180.0,135720.0,164130.0
30,11-3061,80.0,8.4,0.161,0.32,50.57,105190.0,1.4,35.38,49.52,60.52,73590.0,103000.0,125890.0
31,11-3061,520.0,7.4,0.516,1.01,61.5,127920.0,3.2,46.7,59.71,70.82,97140.0,124190.0,147310.0
32,11-3061,670.0,20.1,0.45,0.88,53.63,111560.0,4.4,36.15,50.18,65.76,75200.0,104380.0,136770.0
33,11-3061,440.0,8.8,0.649,1.27,69.78,145150.0,1.5,53.67,67.45,80.96,111630.0,140290.0,168410.0
34,11-3061,3290.0,2.5,0.782,1.53,87.08,181120.0,1.0,67.78,80.87,101.29,140980.0,168210.0,210690.0
35,11-3061,180.0,4.2,0.21,0.41,63.21,131470.0,1.6,50.51,63.27,72.61,105060.0,131600.0,151030.0
36,11-3061,4680.0,4.8,0.498,0.98,84.78,176350.0,1.8,60.22,79.77,100.38,125260.0,165930.0,208790.0
37,11-3061,2880.0,2.2,0.6,1.18,65.96,137200.0,0.8,48.09,62.09,79.85,100030.0,129140.0,166090.0
38,11-3061,40.0,4.7,0.101,0.2,66.05,137380.0,3.0,51.46,64.61,76.22,107040.0,134400.0,158540.0
39,11-3061,2360.0,3.2,0.431,0.84,64.99,135190.0,1.4,46.9,61.78,76.4,97550.0,128500.0,158920.0
40,11-3061,420.0,3.9,0.255,0.5,56.27,117050.0,1.3,43.42,51.31,66.81,90310.0,106730.0,138960.0
41,11-3061,1270.0,4.0,0.655,1.28,64.85,134900.0,2.0,45.62,60.74,82.2,94890.0,126330.0,170970.0
42,11-3061,2510.0,3.8,0.422,0.83,66.08,137450.0,1.6,48.3,64.43,78.3,100460.0,134010.0,162860.0
44,11-3061,190.0,5.4,0.395,0.77,71.45,148610.0,2.0,53.28,66.87,83.03,110830.0,139100.0,172700.0
45,11-3061,960.0,5.5,0.431,0.84,58.3,121270.0,1.4,43.19,54.38,66.88,89830.0,113110.0,139110.0
46,11-3061,80.0,7.4,0.188,0.37,71.26,148230.0,2.7,50.48,60.73,89.18,105000.0,126310.0,185490.0
47,11-3061,1440.0,5.2,0.448,0.88,65.28,135780.0,2.5,41.92,58.79,77.41,87190.0,122270.0,161020.0
48,11-3061,7370.0,2.3,0.544,1.06,66.23,137760.0,0.8,47.68,62.0,80.1,99170.0,128960.0,166600.0
49,11-3061,500.0,5.0,0.3,0.59,59.07,122870.0,1.6,45.16,57.39,68.43,93920.0,119370.0,142330.0
50,11-3061,140.0,12.6,0.48,0.94,52.28,108740.0,2.9,46.21,46.21,58.72,96110.0,96110.0,122140.0
51,11-3061,3460.0,7.3,0.868,1.7,75.69,157440.0,0.9,61.24,73.85,85.18,127380.0,153600.0,177170.0
53,11-3061,2240.0,6.9,0.642,1.26,74.63,155230.0,0.6,59.33,74.13,82.06,123410.0,154190.0,170670.0
54,11-3061,160.0,5.1,0.227,0.44,65.34,135910.0,2.7,52.17,63.63,74.24,108510.0,132350.0,154420.0
55,11-3061,1300.0,3.6,0.451,0.88,60.59,126030.0,0.8,47.69,58.6,67.96,99180.0,121880.0,141350.0
1,11-3071,1240.0,5.2,0.602,0.46,53.29,110850.0,2.1,38.32,47.83,63.16,79700.0,99480.0,131370.0
2,11-3071,950.0,3.7,3.053,2.33,56.46,117430.0,1.4,44.53,51.27,63.06,92620.0,106640.0,131170.0
4,11-3071,3240.0,5.0,1.036,0.79,49.78,103540.0,1.6,37.2,43.84,58.76,77380.0,91190.0,122220.0
5,11-3071,1250.0,5.3,0.983,0.75,51.16,106400.0,2.1,34.41,45.92,58.24,71580.0,95520.0,121130.0
6,11-3071,30930.0,1.9,1.724,1.32,57.33,119250.0,0.8,37.65,48.68,67.8,78310.0,101240.0,141020.0
8,11-3071,1970.0,5.2,0.697,0.53,61.7,128340.0,2.1,43.82,57.83,73.44,91140.0,120290.0,152750.0
9,11-3071,1800.0,6.9,1.087,0.83,56.13,116750.0,3.0,36.65,50.93,70.47,76220.0,105930.0,146580.0
10,11-3071,320.0,8.2,0.678,0.52,71.37,148440.0,4.3,51.82,69.57,86.74,107780.0,144700.0,180420.0
11,11-3071,550.0,3.6,0.784,0.6,70.67,146990.0,1.8,51.67,72.93,87.33,107480.0,151680.0,181650.0
12,11-3071,10030.0,4.0,1.048,0.8,49.79,103570.0,2.8,30.36,44.87,61.42,63160.0,93330.0,127740.0
13,11-3071,7200.0,5.0,1.512,1.16,57.49,119580.0,1.7,39.48,50.48,66.76,82120.0,105000.0,138860.0
15,11-3071,460.0,3.8,0.748,0.57,61.48,127880.0,0.9,45.15,52.87,64.93,93900.0,109970.0,135050.0
16,11-3071,970.0,6.6,1.183,0.9,39.71,82600.0,2.1,29.38,37.61,47.17,61110.0,78240.0,98110.0
17,11-3071,12640.0,2.3,2.103,1.61,54.08,112480.0,1.4,36.57,48.18,63.76,76070.0,100220.0,132610.0
18,11-3071,3220.0,2.5,1.02,0.78,50.93,105930.0,1.2,38.46,47.53,59.08,80000.0,98860.0,122880.0
19,11-3071,2030.0,2.9,1.317,1.01,48.48,100840.0,1.7,37.28,45.15,58.38,77550.0,93910.0,121420.0
20,11-3071,1200.0,5.0,0.85,0.65,53.88,112070.0,2.0,41.4,48.73,62.35,86110.0,101350.0,129690.0
21,11-3071,2960.0,3.9,1.505,1.15,46.25,96200.0,1.8,32.25,42.45,55.31,67080.0,88290.0,115040.0
22,11-3071,1710.0,4.9,0.921,0.7,46.0,95690.0,1.7,30.64,42.27,56.23,63740.0,87920.0,116960.0
23,11-3071,450.0,6.2,0.729,0.56,46.62,96980.0,2.2,36.06,43.26,52.72,75010.0,89980.0,109650.0
24,11-3071,3610.0,3.6,1.347,1.03,56.61,117740.0,2.5,40.38,51.38,64.99,83990.0,106870.0,135170.0
25,11-3071,4340.0,5.6,1.192,0.91,55.85,116160.0,1.9,36.33,48.56,67.64,75570.0,101010.0,140700.0
26,11-3071,7610.0,3.4,1.75,1.34,50.49,105010.0,1.2,35.8,46.07,60.91,74460.0,95830.0,126690.0
27,11-3071,3730.0,3.8,1.293,0.99,61.72,128370.0,1.4,40.11,53.64,79.61,83420.0,111570.0,165600.0
29,11-3071,2160.0,4.9,0.75,0.57,47.42,98630.0,3.1,31.24,42.13,56.96,64980.0,87620.0,118470.0
30,11-3071,250.0,8.7,0.505,0.39,46.88,97510.0,2.2,36.27,46.04,53.73,75440.0,95760.0,111760.0
31,11-3071,1150.0,6.8,1.151,0.88,51.22,106540.0,2.6,36.9,48.33,60.23,76750.0,100530.0,125290.0
32,11-3071,2560.0,6.4,1.73,1.32,43.32,90110.0,2.9,30.77,38.83,48.51,64010.0,80770.0,100900.0
33,11-3071,510.0,5.6,0.75,0.57,61.45,127820.0,2.5,44.07,58.39,73.7,91670.0,121450.0,153300.0
34,11-3071,6510.0,4.0,1.55,1.18,67.31,140000.0,2.7,47.94,61.46,79.68,99700.0,127840.0,165730.0
35,11-3071,460.0,5.8,0.546,0.42,43.86,91240.0,1.9,33.44,41.71,50.33,69550.0,86760.0,104680.0
36,11-3071,5590.0,2.1,0.595,0.45,65.37,135960.0,0.9,45.46,59.29,76.71,94560.0,123320.0,159550.0
37,11-3071,6430.0,3.3,1.34,1.02,52.38,108960.0,1.4,36.05,47.36,61.15,74980.0,98520.0,127200.0
38,11-3071,270.0,7.9,0.652,0.5,49.14,102200.0,2.7,36.56,47.59,61.32,76050.0,99000.0,127540.0
39,11-3071,7980.0,4.1,1.459,1.11,50.43,104900.0,2.3,34.13,43.9,59.97,70980.0,91310.0,124730.0
40,11-3071,1870.0,4.5,1.122,0.86,49.09,102110.0,2.7,28.42,39.75,54.2,59120.0,82680.0,112740.0
41,11-3071,2650.0,4.6,1.364,1.04,52.57,109350.0,2.3,33.61,45.32,61.56,69900.0,94260.0,128050.0
42,11-3071,6060.0,3.6,1.019,0.78,53.65,111600.0,1.9,37.43,49.13,64.56,77850.0,102190.0,134290.0
44,11-3071,310.0,8.1,0.626,0.48,45.67,94980.0,3.5,28.1,39.78,60.06,58450.0,82750.0,124910.0
45,11-3071,3090.0,2.1,1.39,1.06,51.78,107700.0,1.3,35.22,47.44,62.06,73260.0,98680.0,129080.0
46,11-3071,290.0,9.3,0.662,0.51,49.33,102610.0,2.2,41.95,46.37,54.8,87250.0,96450.0,113970.0
47,11-3071,5420.0,3.3,1.684,1.29,48.99,101890.0,1.3,32.68,43.93,60.72,67970.0,91380.0,126300.0
48,11-3071,26230.0,2.4,1.935,1.48,51.31,106720.0,0.9,35.36,46.06,62.32,73560.0,95810.0,129630.0
49,11-3071,2430.0,3.6,1.451,1.11,47.14,98040.0,1.4,32.09,43.35,57.62,66750.0,90170.0,119840.0
50,11-3071,300.0,5.7,0.994,0.76,48.69,101270.0,2.0,37.83,45.68,58.84,78690.0,95010.0,122390.0
51,11-3071,2620.0,2.8,0.657,0.5,55.63,115720.0,1.0,40.23,51.33,66.41,83680.0,106760.0,138130.0
53,11-3071,3030.0,5.2,0.868,0.66,62.0,128960.0,1.8,45.42,57.0,71.83,94470.0,118560.0,149400.0
54,11-3071,420.0,5.4,0.608,0.46,49.23,102400.0,1.8,37.91,45.62,59.04,78850.0,94880.0,122800.0
55,11-3071,3170.0,4.7,1.098,0.84,51.87,107900.0,2.2,37.17,47.28,63.38,77320.0,98350.0,131840.0
56,11-3071,120.0,7.1,0.439,0.34,55.07,114540.0,2.7,44.31,54.93,61.14,92160.0,114250.0,127170.0
1,11-3111,140.0,12.2,0.067,0.54,53.44,111160.0,3.5,38.19,50.14,62.03,79430.0,104300.0,129020.0
2,11-3111,40.0,26.5,0.12,0.97,48.44,100750.0,4.7,40.0,51.1,55.51,83200.0,106280.0,115460.0
5,11-3111,140.0,11.3,0.112,0.91,56.15,116800.0,5.1,32.2,44.45,64.3,66980.0,92460.0,133740.0
6,11-3111,2990.0,5.7,0.167,1.35,80.1,166620.0,2.5,57.71,74.29,97.86,120040.0,154530.0,203550.0
8,11-3111,200.0,8.5,0.071,0.58,81.71,169960.0,2.0,61.15,76.32,97.38,127190.0,158750.0,202540.0
9,11-3111,210.0,15.8,0.128,1.04,87.68,182380.0,4.3,61.11,80.98,105.82,127100.0,168440.0,220110.0
11,11-3111,170.0,14.4,0.24,1.95,81.05,168590.0,2.2,63.12,79.32,95.99,131290.0,164980.0,199660.0
12,11-3111,1060.0,5.3,0.111,0.9,63.09,131240.0,2.4,41.27,56.18,78.21,85840.0,116850.0,162670.0
13,11-3111,700.0,6.3,0.147,1.2,74.31,154560.0,1.7,55.73,70.91,85.62,115910.0,147490.0,178080.0
15,11-3111,100.0,15.2,0.163,1.33,50.05,104110.0,3.4,39.27,44.75,61.48,81680.0,93070.0,127880.0
17,11-3111,530.0,6.2,0.088,0.71,64.86,134900.0,2.5,44.39,56.05,79.44,92330.0,116580.0,165240.0
18,11-3111,140.0,6.2,0.044,0.36,59.24,123230.0,2.2,43.13,54.81,69.16,89710.0,114000.0,143850.0
19,11-3111,140.0,12.2,0.089,0.73,48.6,101100.0,5.5,36.64,45.36,59.72,76200.0,94350.0,124210.0
20,11-3111,90.0,12.3,0.066,0.54,59.71,124190.0,0.9,46.93,57.67,70.1,97610.0,119950.0,145810.0
21,11-3111,150.0,11.9,0.075,0.61,71.8,149340.0,14.9,37.73,50.71,71.05,78480.0,105480.0,147780.0
22,11-3111,150.0,14.9,0.079,0.65,49.6,103160.0,3.0,36.12,43.05,56.4,75140.0,89550.0,117310.0
23,11-3111,50.0,17.2,0.081,0.66,77.32,160830.0,7.9,51.49,61.14,86.97,107100.0,127170.0,180900.0
24,11-3111,480.0,8.1,0.181,1.47,68.88,143260.0,1.7,52.59,65.57,81.58,109380.0,136380.0,169680.0
25,11-3111,720.0,9.4,0.197,1.6,84.27,175290.0,1.3,65.94,81.58,98.34,137150.0,169690.0,204550.0
26,11-3111,410.0,10.0,0.093,0.76,76.62,159360.0,8.0,51.89,64.47,83.87,107930.0,134100.0,174440.0
27,11-3111,280.0,4.8,0.098,0.79,71.9,149550.0,1.8,52.76,66.47,88.09,109740.0,138260.0,183230.0
28,11-3111,70.0,15.9,0.059,0.48,46.64,97010.0,6.2,31.14,41.71,55.16,64780.0,86760.0,114720.0
29,11-3111,170.0,9.6,0.058,0.47,67.2,139770.0,3.3,40.25,62.21,80.95,83720.0,129410.0,168380.0
31,11-3111,180.0,6.5,0.183,1.48,60.17,125160.0,1.6,45.39,53.07,71.87,94400.0,110390.0,149480.0
32,11-3111,110.0,19.0,0.075,0.61,41.12,85540.0,4.0,31.24,38.1,47.37,64970.0,79240.0,98530.0
33,11-3111,80.0,13.0,0.124,1.01,64.15,133440.0,4.5,47.3,57.84,79.2,98380.0,120300.0,164740.0
34,11-3111,660.0,7.6,0.157,1.27,90.53,188300.0,1.2,72.02,86.1,103.49,149810.0,179090.0,215250.0
36,11-3111,1880.0,7.3,0.2,1.63,96.79,201320.0,6.0,67.52,86.11,106.46,140440.0,179110.0,221440.0
37,11-3111,780.0,3.8,0.163,1.33,67.93,141300.0,2.0,46.42,60.72,85.62,96560.0,126290.0,178090.0
39,11-3111,290.0,5.9,0.054,0.44,74.84,155660.0,3.5,54.83,67.42,88.58,114050.0,140240.0,184250.0
40,11-3111,120.0,9.9,0.069,0.56,56.48,117470.0,2.3,41.98,48.44,67.71,87320.0,100760.0,140830.0
41,11-3111,170.0,13.2,0.087,0.71,68.85,143210.0,4.6,51.04,66.82,79.05,106150.0,138980.0,164410.0
44,11-3111,50.0,13.4,0.104,0.85,79.2,164740.0,3.9,55.59,77.87,103.79,115630.0,161970.0,215870.0
45,11-3111,270.0,9.8,0.123,1.0,48.88,101660.0,2.1,30.12,44.43,58.89,62650.0,92410.0,122500.0
47,11-3111,300.0,7.0,0.092,0.75,59.6,123970.0,1.4,43.44,54.83,70.05,90340.0,114040.0,145700.0
48,11-3111,1730.0,13.5,0.128,1.04,63.54,132170.0,4.8,43.35,60.1,78.6,90170.0,125010.0,163480.0
49,11-3111,170.0,27.1,0.104,0.84,59.82,124430.0,6.5,44.08,55.48,68.72,91690.0,115390.0,142950.0
51,11-3111,410.0,8.3,0.102,0.83,77.06,160280.0,3.3,53.22,72.8,97.09,110700.0,151420.0,201940.0
53,11-3111,350.0,10.2,0.1,0.81,87.93,182900.0,2.5,61.9,84.57,100.42,128750.0,175900.0,208870.0
54,11-3111,40.0,15.9,0.059,0.48,52.65,109520.0,3.7,35.3,53.68,65.97,73430.0,111660.0,137220.0
55,11-3111,320.0,5.5,0.109,0.89,69.46,144480.0,1.5,50.05,63.58,85.16,104100.0,132240.0,177130.0
1,11-3121,1810.0,4.7,0.88,0.67,56.72,117980.0,1.7,39.63,51.21,65.11,82430.0,106510.0,135430.0
2,11-3121,380.0,7.4,1.217,0.92,58.21,121080.0,1.4,45.91,56.53,68.01,95500.0,117580.0,141470.0
4,11-3121,3600.0,3.2,1.149,0.87,68.67,142840.0,1.4,47.44,61.61,79.84,98680.0,128140.0,166060.0
5,11-3121,1320.0,3.5,1.038,0.79,56.34,117190.0,1.9,35.49,46.82,66.67,73820.0,97380.0,138670.0
6,11-3121,27980.0,1.9,1.559,1.18,87.72,182460.0,0.8,61.49,80.25,105.8,127900.0,166920.0,220060.0
8,11-3121,3170.0,2.9,1.119,0.85,78.19,162630.0,1.6,58.0,71.8,87.03,120650.0,149340.0,181010.0
9,11-3121,3140.0,3.8,1.893,1.43,76.62,159370.0,1.2,51.98,67.82,86.94,108120.0,141070.0,180840.0
10,11-3121,630.0,14.3,1.335,1.01,76.36,158820.0,6.2,48.07,71.02,91.42,99990.0,147720.0,190150.0
11,11-3121,2160.0,3.7,3.081,2.33,86.9,180750.0,1.5,63.41,82.32,97.47,131890.0,171220.0,202740.0
12,11-3121,10110.0,3.2,1.057,0.8,64.22,133570.0,0.9,44.05,57.82,78.58,91630.0,120270.0,163440.0
13,11-3121,6690.0,3.8,1.406,1.06,70.61,146860.0,1.2,47.43,63.45,84.13,98650.0,131970.0,174980.0
15,11-3121,760.0,5.7,1.237,0.94,58.5,121680.0,2.9,43.4,53.49,66.8,90280.0,111250.0,138950.0
16,11-3121,720.0,10.8,0.878,0.67,58.63,121950.0,6.7,41.64,52.49,67.38,86610.0,109180.0,140150.0
17,11-3121,13680.0,4.0,2.275,1.72,71.47,148660.0,0.8,50.14,63.54,82.84,104300.0,132170.0,172310.0
18,11-3121,2610.0,6.3,0.828,0.63,62.76,130540.0,1.5,46.39,59.58,73.51,96480.0,123930.0,152900.0
19,11-3121,1470.0,3.7,0.952,0.72,61.54,127990.0,1.2,44.86,56.56,70.87,93310.0,117630.0,147410.0
20,11-3121,1250.0,4.0,0.885,0.67,65.66,136570.0,2.5,49.47,61.22,76.3,102900.0,127330.0,158710.0
21,11-3121,1990.0,15.1,1.015,0.77,56.68,117890.0,2.6,41.48,53.43,63.54,86280.0,111130.0,132170.0
22,11-3121,1500.0,4.3,0.812,0.61,53.09,110420.0,1.1,39.51,47.65,60.99,82170.0,99120.0,126860.0
23,11-3121,520.0,4.2,0.842,0.64,63.36,131800.0,1.5,46.88,59.21,74.75,97510.0,123160.0,155480.0
24,11-3121,3610.0,3.2,1.349,1.02,74.88,155740.0,1.1,52.71,68.36,87.33,109630.0,142190.0,181650.0
25,11-3121,6690.0,3.0,1.835,1.39,89.26,185650.0,1.2,62.15,82.14,104.91,129280.0,170840.0,218210.0
26,11-3121,5060.0,2.0,1.164,0.88,65.82,136910.0,0.8,47.68,60.41,77.84,99160.0,125650.0,161920.0
27,11-3121,3800.0,3.0,1.32,1.0,74.69,155360.0,0.7,51.67,69.14,90.28,107470.0,143800.0,187780.0
28,11-3121,730.0,4.4,0.634,0.48,50.86,105800.0,1.6,36.35,43.97,60.18,75600.0,91460.0,125180.0
29,11-3121,3080.0,5.2,1.07,0.81,61.73,128400.0,2.0,42.08,57.42,74.78,87530.0,119430.0,155540.0
30,11-3121,350.0,8.8,0.699,0.53,55.87,116200.0,2.9,41.65,51.07,65.25,86630.0,106220.0,135720.0
31,11-3121,1630.0,4.2,1.633,1.24,63.46,131990.0,2.0,46.07,58.6,74.7,95830.0,121890.0,155370.0
32,11-3121,1640.0,6.2,1.105,0.84,51.3,106700.0,2.1,36.06,44.25,62.62,75000.0,92040.0,130250.0
33,11-3121,820.0,4.2,1.22,0.92,70.8,147260.0,1.4,51.3,64.78,82.6,106710.0,134740.0,171810.0
34,11-3121,5590.0,3.1,1.33,1.01,88.85,184810.0,0.9,63.89,80.71,103.38,132890.0,167880.0,215030.0
35,11-3121,600.0,4.7,0.707,0.54,59.91,124620.0,1.6,43.88,55.28,68.99,91260.0,114980.0,143500.0
36,11-3121,14260.0,1.4,1.518,1.15,95.59,198830.0,0.8,63.23,84.43,113.1,131510.0,175620.0,235250.0
37,11-3121,6760.0,1.9,1.411,1.07,68.05,141540.0,0.8,47.72,62.48,80.03,99260.0,129960.0,166460.0
38,11-3121,230.0,6.0,0.541,0.41,65.19,135590.0,1.5,50.0,57.22,70.26,104000.0,119010.0,146140.0
39,11-3121,5950.0,3.1,1.087,0.82,66.44,138180.0,1.3,44.17,60.18,80.44,91870.0,125170.0,167320.0
40,11-3121,1330.0,3.3,0.8,0.61,58.75,122200.0,1.7,40.28,51.69,68.43,83780.0,107510.0,142330.0
41,11-3121,2750.0,3.5,1.418,1.07,70.47,146570.0,1.7,50.0,62.89,82.65,104000.0,130820.0,171920.0
42,11-3121,7910.0,2.8,1.33,1.01,66.83,139000.0,1.1,47.03,61.46,78.73,97820.0,127830.0,163760.0
44,11-3121,350.0,8.3,0.711,0.54,78.84,163990.0,2.8,55.71,72.51,97.05,115880.0,150820.0,201860.0
45,11-3121,2320.0,3.8,1.043,0.79,58.64,121970.0,0.9,41.45,53.46,68.97,86220.0,111200.0,143460.0
46,11-3121,380.0,5.9,0.845,0.64,57.15,118860.0,1.7,44.92,52.87,67.58,93440.0,109960.0,140570.0
47,11-3121,4370.0,2.9,1.357,1.03,62.11,129180.0,1.1,43.8,56.64,74.03,91100.0,117820.0,153980.0
48,11-3121,17870.0,2.8,1.318,1.0,69.94,145460.0,1.3,49.08,62.63,81.16,102080.0,130260.0,168810.0
49,11-3121,1880.0,3.8,1.121,0.85,60.04,124890.0,2.1,42.36,55.48,69.81,88120.0,115400.0,145210.0
50,11-3121,440.0,10.2,1.457,1.1,60.29,125400.0,5.9,40.07,55.21,66.83,83340.0,114830.0,139010.0
51,11-3121,5760.0,3.7,1.448,1.1,78.97,164250.0,1.7,55.92,75.69,94.74,116310.0,157430.0,197060.0
53,11-3121,4800.0,3.6,1.374,1.04,90.78,188820.0,0.9,61.53,78.77,103.31,127980.0,163850.0,214880.0
54,11-3121,640.0,5.3,0.926,0.7,55.19,114790.0,2.0,39.62,49.87,65.16,82420.0,103730.0,135530.0
55,11-3121,3330.0,2.7,1.155,0.87,67.66,140730.0,0.8,50.37,61.94,78.76,104770.0,128830.0,163820.0
56,11-3121,160.0,25.7,0.595,0.45,55.02,114440.0,3.7,43.98,47.8,62.49,91470.0,99420.0,129980.0
1,11-3131,120.0,5.8,0.058,0.21,54.59,113540.0,2.5,40.03,50.12,65.73,83260.0,104250.0,136720.0
